image_path,class_name,class_index,split
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0031381.jpg,Actinic keratosis,0,val
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0032854.jpg,Actinic keratosis,0,val
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0029713.jpg,Actinic keratosis,0,val
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0030242.jpg,Actinic keratosis,0,val
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0030143.jpg,Actinic keratosis,0,val
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0033413.jpg,Actinic keratosis,0,val
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0031993.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0032199.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0032404.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0031335.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0031823.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0031292.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0030408.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0029827.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0030142.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0033151.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0031430.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0032135.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0031108.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0031609.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0033494.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0031922.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0031040.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0030730.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0033866.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0032437.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0029659.jpg,Actinic keratosis,0,train
