class_name,precision,recall,f1-score,support
Actinic keratosis,0.38461538461538464,0.38461538461538464,0.38461538461538464,26.0
Basal Cell Carcinoma,0.8241758241758241,0.8928571428571429,0.8571428571428571,84.0
Darier_s Disease,1.0,0.7,0.8235294117647058,20.0
Dermatofibroma,0.7857142857142857,0.9565217391304348,0.8627450980392157,23.0
Epidermolysis Bullosa Pruriginosa,1.0,0.9,0.9473684210526315,20.0
Hailey-Hailey Disease,0.7741935483870968,0.8275862068965517,0.8,29.0
Herpes Simplex,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
Impetigo,0.8333333333333334,0.6818181818181818,0.75,22.0
Larva Migrans,0.875,0.75,0.8076923076923077,28.0
Leprosy Borderline,0.84,0.7241379310344828,0.7777777777777778,29.0
Leprosy Lepromatous,0.7540983606557377,0.7796610169491526,0.7666666666666667,59.0
Leprosy Tuberculoid,0.7837837837837838,0.6170212765957447,0.6904761904761905,47.0
Lichen Planus,0.7058823529411765,0.8888888888888888,0.7868852459016393,27.0
Lupus Erythematosus Chronicus Discoides,0.72,0.782608695652174,0.75,23.0
Melanoma,0.9411764705882353,0.6153846153846154,0.7441860465116279,26.0
Molluscum Contagiosum,0.78125,0.9259259259259259,0.847457627118644,27.0
Mycosis Fungoides,0.7777777777777778,0.875,0.8235294117647058,24.0
Neurofibromatosis,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
Nevus,0.9,0.6,0.72,75.0
Papilomatosis Confluentes And Reticulate,1.0,0.9444444444444444,0.9714285714285714,18.0
Pediculosis Capitis,0.8888888888888888,0.9411764705882353,0.9142857142857143,17.0
Pigmented Benign Keratosis,0.8181818181818182,0.75,0.782608695652174,96.0
Pityriasis Rosea,0.8846153846153846,0.8846153846153846,0.8846153846153846,26.0
Porokeratosis Actinic,0.7878787878787878,1.0,0.8813559322033898,26.0
Psoriasis,0.6923076923076923,0.6666666666666666,0.6792452830188679,27.0
Seborrheic keratosis,0.7368421052631579,0.875,0.8,16.0
Squamous cell carcinoma,0.48484848484848486,0.8,0.6037735849056604,40.0
Tinea Corporis,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
Tinea Nigra,0.875,0.875,0.875,24.0
Tungiasis,0.7647058823529411,0.9629629629629629,0.8524590163934426,27.0
Vascular lesion,1.0,1.0,1.0,29.0
accuracy,0.7927565392354124,0.7927565392354124,0.7927565392354124,0.7927565392354124
macro avg,0.8167140290519131,0.8112968423796884,0.8065761573702771,994.0
weighted avg,0.8089444741670594,0.7927565392354124,0.7927188090871836,994.0
