class_name,precision,recall,f1-score,support
Actinic keratosis,0.48484848484848486,0.6153846153846154,0.5423728813559322,26.0
Basal Cell Carcinoma,0.8481012658227848,0.7976190476190477,0.8220858895705522,84.0
Darier_s Disease,0.6470588235294118,0.55,0.5945945945945946,20.0
Dermatofibroma,0.9047619047619048,0.8260869565217391,0.8636363636363636,23.0
Epidermolysis Bullosa Pruriginosa,0.8095238095238095,0.85,0.8292682926829268,20.0
Hailey-Hailey Disease,0.7931034482758621,0.7931034482758621,0.7931034482758621,29.0
Herpes Simplex,0.7368421052631579,0.7777777777777778,0.7567567567567568,18.0
Impetigo,0.7894736842105263,0.6818181818181818,0.7317073170731707,22.0
Larva Migrans,0.7037037037037037,0.6785714285714286,0.6909090909090909,28.0
Leprosy Borderline,0.6206896551724138,0.6206896551724138,0.6206896551724138,29.0
Leprosy Lepromatous,0.6607142857142857,0.6271186440677966,0.6434782608695652,59.0
Leprosy Tuberculoid,0.6428571428571429,0.574468085106383,0.6067415730337079,47.0
Lichen Planus,0.7931034482758621,0.8518518518518519,0.8214285714285714,27.0
Lupus Erythematosus Chronicus Discoides,0.7916666666666666,0.8260869565217391,0.8085106382978723,23.0
Melanoma,0.875,0.8076923076923077,0.84,26.0
Molluscum Contagiosum,0.7931034482758621,0.8518518518518519,0.8214285714285714,27.0
Mycosis Fungoides,0.625,0.625,0.625,24.0
Neurofibromatosis,1.0,0.8888888888888888,0.9411764705882353,18.0
Nevus,0.8571428571428571,0.56,0.6774193548387096,75.0
Papilomatosis Confluentes And Reticulate,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
Pediculosis Capitis,0.8,0.9411764705882353,0.8648648648648649,17.0
Pigmented Benign Keratosis,0.7238095238095238,0.7916666666666666,0.7562189054726368,96.0
Pityriasis Rosea,0.6774193548387096,0.8076923076923077,0.7368421052631579,26.0
Porokeratosis Actinic,0.7647058823529411,1.0,0.8666666666666667,26.0
Psoriasis,0.6363636363636364,0.7777777777777778,0.7,27.0
Seborrheic keratosis,0.7222222222222222,0.8125,0.7647058823529411,16.0
Squamous cell carcinoma,0.6521739130434783,0.75,0.6976744186046512,40.0
Tinea Corporis,0.875,0.6086956521739131,0.717948717948718,23.0
Tinea Nigra,0.8076923076923077,0.875,0.84,24.0
Tungiasis,0.9310344827586207,1.0,0.9642857142857143,27.0
Vascular lesion,0.9354838709677419,1.0,0.9666666666666667,29.0
accuracy,0.7575452716297787,0.7575452716297787,0.7575452716297787,0.7575452716297787
macro avg,0.7692594958883341,0.7778375166601689,0.7693750360349472,994.0
weighted avg,0.7641579153351914,0.7575452716297787,0.755895485441026,994.0
