class_name,precision,recall,f1-score,support
Actinic keratosis,0.4166666666666667,0.7692307692307693,0.5405405405405406,26.0
Basal Cell Carcinoma,0.9027777777777778,0.7738095238095238,0.8333333333333334,84.0
Darier_s Disease,0.7368421052631579,0.7,0.717948717948718,20.0
Dermatofibroma,1.0,0.9130434782608695,0.9545454545454546,23.0
Epidermolysis Bullosa Pruriginosa,0.9411764705882353,0.8,0.8648648648648649,20.0
Hailey-Hailey Disease,0.696969696969697,0.7931034482758621,0.7419354838709677,29.0
Herpes Simplex,0.7058823529411765,0.6666666666666666,0.6857142857142857,18.0
Impetigo,0.8095238095238095,0.7727272727272727,0.7906976744186046,22.0
Larva Migrans,0.7407407407407407,0.7142857142857143,0.7272727272727273,28.0
Leprosy Borderline,0.75,0.7241379310344828,0.7368421052631579,29.0
Leprosy Lepromatous,0.7222222222222222,0.6610169491525424,0.6902654867256637,59.0
Leprosy Tuberculoid,0.68,0.723404255319149,0.7010309278350515,47.0
Lichen Planus,0.7666666666666667,0.8518518518518519,0.8070175438596491,27.0
Lupus Erythematosus Chronicus Discoides,0.7272727272727273,0.6956521739130435,0.7111111111111111,23.0
Melanoma,0.88,0.8461538461538461,0.8627450980392157,26.0
Molluscum Contagiosum,0.7586206896551724,0.8148148148148148,0.7857142857142857,27.0
Mycosis Fungoides,0.7692307692307693,0.8333333333333334,0.8,24.0
Neurofibromatosis,1.0,0.9444444444444444,0.9714285714285714,18.0
Nevus,0.8727272727272727,0.64,0.7384615384615385,75.0
Papilomatosis Confluentes And Reticulate,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
Pediculosis Capitis,1.0,0.9411764705882353,0.9696969696969697,17.0
Pigmented Benign Keratosis,0.8111111111111111,0.7604166666666666,0.7849462365591398,96.0
Pityriasis Rosea,0.6896551724137931,0.7692307692307693,0.7272727272727273,26.0
Porokeratosis Actinic,0.8387096774193549,1.0,0.9122807017543859,26.0
Psoriasis,0.7741935483870968,0.8888888888888888,0.8275862068965517,27.0
Seborrheic keratosis,0.75,0.75,0.75,16.0
Squamous cell carcinoma,0.6,0.675,0.6352941176470588,40.0
Tinea Corporis,0.8,0.6956521739130435,0.7441860465116279,23.0
Tinea Nigra,0.7857142857142857,0.9166666666666666,0.8461538461538461,24.0
Tungiasis,0.8666666666666667,0.9629629629629629,0.9122807017543859,27.0
Vascular lesion,0.9655172413793104,0.9655172413793104,0.9655172413793104,29.0
accuracy,0.7806841046277666,0.7806841046277666,0.7806841046277666,0.7806841046277666
macro avg,0.7950895664589226,0.8016799097567618,0.794373336627827,994.0
weighted avg,0.7946549840041266,0.7806841046277666,0.7831656107224089,994.0
